Magyar név,Mai hivatalos név,Ország
Feketelak,Lacu,RO
Feketemező,Čierne Pole,SK
Feketenyék,Čierna Voda,SK
Feketepatak,Csornij Potyik,UA
Feketepuszta,Pusta,RO
Feketetisza,Csorna Tisza,UA
Feketetó,Crna Bara,YU
Feketetót,Tăut,RO
Feketeváros,Purbach am Neusiedler See,A
Feketevölgy,Poiana Vadului,RO
Fél,Tomášov,SK
Felbár,Horný Bar,SK
Feldoboly,Dobolii de Sus,RO
Feled,Jesenské,SK
Felek,Avrig,RO
Felenyed,Aiudul de Sus,RO
Felfalu,Chvalová,SK
Felfüged,Ciugudu de Sus,RO
Felgyógy,Geoagiu de Sus,RO
Felistál,Horný Štál,SK
Felka,Veľká,SK
Felkenyér,Vinerea,RO
Felkér,Felcheriu,RO
Fellak,Feleac,RO
Felménes,Minişu de Sus,RO
Felmér,Felmer,RO
Felőr,Uriu,RO
Felsőaklos,Ocolişel,RO
Felsőalmád,Vyšná Jablonka,SK
Felsőalmás,Jabloňovce,SK
Felsőapáti,Horné Opatovce,SK
Felsőapsa,Verhnye Vogyane,UA
Felsőaradi,Slovački Aradac,YU
Felsőárpás,Arpaşu de Sus,RO
Felsőatrak,Horné Otrokovce,SK
Felsőbágyon,Horný Badín,SK
Felsőbaka,Horný Prandorf,SK
Felsőbalázsfalva,Blăjenii de Sus,RO
Felsőbalog,Veľký Blh,SK
Felsőbán,Ban,RO
Felsőbánya,Baia Sprie,RO
Felsőbarakony,Berechiu,RO
Felsőbarbatyen,Bărbătenii de Sus,RO
Felsőbaskóc,Baškovce,SK
Felsőbaucár,Băuţaru Superior,RO
Felsőbeled,Oberbildein,A
Felsőbencsek,Bencecu de Sus,RO
Felsőberekszó,Bârsău de Sus,RO
Felsőbesenyő,Hronská Dúbrava,SK
Felsőbeszterce,Gornja Bistrica,SLO
Felsőbisztra,Visnya Bisztra,UA
Felsőbodok,Horné Obdokovce,SK
Felsőbogáta,Bogata de Sus,RO
Felsőboj,Boiu de Sus,RO
Felsőboldád,Stâna,RO
Felsőboldogfalva,Feliceni,RO
Felsőborgó,Susenii Bârgăului,RO
Felsőbotfalu,Bzince pod Javorinou,SK
Felsőbölkény,Beica de Sus,RO
Felsőbudak,Budacu de Sus,RO
Felsőbükk,Făgetu de Sus,RO
Felsőcsáj,Vyšný Čaj,SK
Felsőcsalogány,Gornji Slaveči,SLO
Felsőcsebény,Čabiny,SK
Felsőcsernáton,Cernatu de Sus,RO
Felsőcsernye,Cernina,SK
Felsőcsertés,Certeju de Sus,RO
Felsőcsitár,Horné Štitáre,SK
Felsőcsobánka,Ciubăncuţa,RO
Felsőcsóra,Cioara de Sus,RO
Felsőcsöpöny,Horný Čepeň,SK
Felsődacsólam,Dačov Lom,SK
Felsőderna,Derna,RO
Felsődetrehem,Tritenii de Sus,RO
Felsődiós,Horné Orešany,SK
Felsődombó,Horné Dubové,SK
Felsődomború,Gornja Dubrava,HR
Felsődomonya,Onokivci,UA
Felsődubovány,Horné Dubovany,SK
Felsőegregy,Agrij,RO
Felsőegres,Agrişu de Sus,RO
Felsőelefánt,Lefantovce,SK
Felsőelemér,Elemir,YU
Felsőerdőfalva,Stará Lesná,SK
Felsőesztergály,Horné Strháre,SK
Felsőfalu,Chvalová,SK
Felsőfarkadin,Fărcădin,RO
Felsőfegyvernek,Zbrojníky,SK
Felsőfehérkút,Horné Príbelce,SK
Felsőfeketepatak,Čierne nad Topľou,SK
Felsőfeketevölgy,Valea de Sus,RO
Felsőfenyves,Vyšná Jedľová,SK
Felsőfernezely,Firiza,RO
Felsőfricske,Frička,SK
Felsőfüld,Fildu de Sus,RO
Felsőfüle,Filea de Sus,RO
Felsőfülehavas,Muntele Filii,RO
Felsőfüves,Vărzarii de Sus,RO
Felsőgáld,Galda de Sus,RO
Felsögellér,Horný Gellér,SK
Felsőgereben,Verhnyja Hrabivnica,UA
Felsőgezés,Ghijasa de Sus,RO
Felsőgirda,Gârda de Sus,RO
Felsőgörbed,Crivina de Sus,RO
Felsőgyékényes,Jichişu de Sus,RO
Felsőgyerőmonostor,Mănăşturu Românesc,RO
Felsőgyőröd,Veľký Ďúr,SK
Felsőgyurkuca,Giurcuţa de Sus,RO
Felsőhalas,Vyšná Rybnica,SK
Felsőhámor,Horné Hámre,SK
Felsőhatárszeg,Verhnyja Roztoka,UA
Felsőhegy,Gornji Breg,YU
Felsőhelbény,Horné Chlebany,SK
Felsőhéve,Vrchteplá,SK
Felsőhidas,Horný Moštenec,SK
Felsőhideghegy,Gornji Zebanec,HR
Felsőhidegpatak,Verhnyij Sztudenij,UA
Felsőhímes,Vyšná Pisaná,SK
Felsőhomoród,Homorodu de Sus,RO
Felsőhosszúfalu,Dlhá,SK
Felsőhrabonica,Verhnyja Hrabivnica,UA
Felsőhunkóc,Hunkovce,SK
Felsőhutka,Vyšná Hutka,SK
Felsőidecs,Ideciu de Sus,RO
Felsőilosva,Târlişua,RO
Felsőittebe,Srpski Itebej,YU
Felsőjányok,Janíky,SK
Felsőkabol,Kovilj,YU
Felsőkabol,Gornji Kovilj,YU
Felsőkajanel,Căinelu de Sus,RO
Felsőkálinfalva,Călineşti,RO
Felsőkálnok,Horný Kalník,SK
Felsőkalocsa,Nehrovec,UA
Felsőkálosa,Vyšná Káloša,SK
Felsőkánya,Šarišské Jastrabie,SK
Felsőkápolna,Căpâlna de Sus,RO
Felsőkarácsonfalva,Crăciunelu de Sus,RO
Felsőkaraszló,Hreblja,UA
Felsőkastély,Coşteiu de Sus,RO
Felsőkázmér,Vyšný Kazimír,SK
Felsőkaznacs,Cosniciu de Sus,RO
Felsőkemence,Vyšná Kamenica,SK
Felsőkemenec,Horný Kamenec,SK
Felsőkerepec,Verhnyij Koropec,UA
Felsőkethely,Neumarkt im Tauchental,A
Felsőkirályfalva,Gornji Kraljevec,HR
Felsőkirályi,Horná Kráľová,SK
Felsőkismartonhegy,Oberberg Eisenstadt,A
Felsőkocskóc,Horné Kočkovce,SK
Felsőkocsoba,Cociuba Mică,RO
Felsőkohány,Kochanovce,SK
Felsőkomána,Comana de Sus,RO
Felsőkomárnok,Vyšný Komárnik,SK
Felsőkomaróc,Komárov,SK
Felsőkorompa,Horná Krupá,SK
Felsőkosály,Rugăşeşti,RO
Felsőköcsény,Kučín,SK
Felsőköhér,Chiheru de Sus,RO
Felsőköröskény,Horné Krškany,SK
Felsőkörtvélyes,Vyšný Hrušov,SK
Felsőköves,Cuiaş,RO
Felsőkrucsó,Kručov,SK
Felsőkubin,Vyšný Kubín,SK
Felsőladács,Vyšná Vladiča,SK
Felsőlakos,Gornji Lakoš,SLO
Felsőlánc,Vyšný Lánec,SK
Felsőlápos,Łapsze Wyźnie,PL
Felsőlapugy,Lăpugiu de Sus,RO
Felsőlászló,Oberloisdorf,A
Felsőlászlófalva,Vyšné Ladiškovce,SK
Felsőlegénd,Horné Mladonice,SK
Felsőlehota,Horná Lehota,SK
Felsőlendva,Grad,SLO
Felsőleszéte,Podolie,SK
Felsőlipnica,Lipnica Mala,PL
Felsőlóc,Horné Lovčice,SK
Felsőlopassó,Lopašov,SK
Felsőlövő,Oberschützen,A
Felsőlugos,Lugaşu de Sus,RO
Felsőlunkoj,Luncoiu de Sus,RO
Felsőlupkó,Gornea,RO
Felsőmarosújvár,Uioara de Sus,RO
Felsőmattyasóc,Vyšné Matiašovce,SK
Felsőmecenzéf,Vyšný Medzev,SK
Felsőmedves,Kleinmürbisch,A
Felsőmélyesd,Hlboké,SK
Felsőmérk,Mirkovce,SK
Felsőmerse,Vyšný Mirošov,SK
Felsőmezős,Câmpani,RO
Felsőmicsinye,Horná Mičiná,SK
Felsőmihályfalva,Gornji Mihaljevec,HR
Felsőmihályi,Michalok,SK
Felsőmislye,Vyšná Myšľá,SK
Felsőmoécs,Moieciu de Sus,RO
Felsőmogyoród,Horný Lieskov,SK
Felsőmotesic,Motešice,SK
Felsőmuzslya,Gornja Mužlja,YU
Felsőnádasd,Nădăştia de Sus,RO
Felsőnémeti,Vyšné Nemecké,SK
Felsőneresznice,Novoszelica,UA
Felsőneszte,Horné Naštice,SK
Felsőnyárasd,Horný Náražd,SK
Felsőnyárló,Stâna,RO
Felsőnyíresd,Horná Breznica,SK
Felsőnyiresfalva,Lunca Cernii de Sus,RO
Felsőodor,Vyšný Orlík,SK
Felsőolcsvár,Košické Oľšany,SK
Felsőolsva,Vyšná Oľsava,SK
Felsőorbó,Gârbova de Sus,RO
Felsőoroszfalu,Rusu de Sus,RO
Felsőoroszi,Urisiu de Sus,RO
Felsőosztorány,Stráňavy,SK
Felsőozor,Horné Ozorovce,SK
Felsőőr,Oberwart,A
Felsőpagony,Vyšná Poľanka,SK
Felsőpálfa,Palovec,HR
Felsőpalojta,Horné Plachtince,SK
Felsőpásztély,Roztocka Pasztil,UA
Felsőpatak,Valea Mare de Criş,RO
Felsőpatakvölgy,Visnyij Dubovec,UA
Felsőpél,Horný Pial,SK
Felsőperesény,Horné Pršany,SK
Felsőpestes,Pestişu Mic,RO
Felsőpeterd,Petreştii de Sus,RO
Felsőpéterfa,Oberpetersdorf,A
Felsőpián,Pianu de Sus,RO
Felsőpodsága,Poşaga de Sus,RO
Felsőpojény,Poienii de Sus,RO
Felsőpokorágy,Vyšná Pokoradz,SK
Felsőporumbák,Porumbacu de Sus,RO
Felsőpozsgás,Pojejena de Sus,RO
Felsőpróna,Vyšehradné,SK
Felsőpulya,Oberpullendorf,A
Felsőpusztafa,Gornja Pustakovac,HR
Felsőrados,Radošovce,SK
Felsőrákóc,Rakovčík,SK
Felsőrakonca,Horné Rykynčice,SK
Felsőrákos,Racoşul de Sus,RO
Felsőrámóc,Oberrabnitz,A
Felsőrás,Rašice,SK
Felsőrécsény,Rišňovce,SK
Felsőremete,Verhnyi Remeti,UA
Felsőrépa,Vătava,RO
Felsőrépás,Vyšné Repaše,SK
Felsőribnice,Vyšná Rybnica,SK
Felsőricsó,Horný Hričov,SK
Felsőroglatica,Gornja Rogatica,YU
Felsőróna,Rona de Sus,RO
Felsőrőcse,Veľké Revištia,SK
Felsőrudaskóc,Horné Držkovce,SK
Felsősajó,Vyšná Slaná,SK
Felsősándorfalu,Şindreşti,RO
Felsősárad,Siroke,UA
Felsősebes,Vyšná Šebastová,SK
Felsősebes,Verhnyij Bisztrij,UA
Felsősimánd,Şimandu de Sus,RO
Felsősipék,Šipice,SK
Felsősófalva,Ocna de Sus,RO
Felsősom,Drienica,SK
Felsőstepanó,Štefanov nad Oravou,SK
Felsőstubnya,Horná Štubňa,SK
Felsősujtó,Šutovce,SK
Felsőszabadi,Horná Lehota,SK
Felsőszabados,Vyšná Voľa,SK
Felsőszakács,Secaci,RO
Felsőszalánk,Vyšné Slovinky,SK
Felsőszalatna,Slatina nad Bebravou,SK
Felsőszálláspatak,Sălaşu de Sus,RO
Felsőszalók,Vyšný Slavkov,SK
Felsőszamos,Lăpuşteşti,RO
Felsőszászújfalu,Satu Nou,RO
Felsőszecse,Horná Seč,SK
Felsőszék,Sâg,RO
Felsőszelezsény,Horné Sľažany,SK
Felsőszeli,Horné Saliby,SK
Felsőszelistye,Săliştea de Sus,RO
Felsőszemeréd,Horné Semerovce,SK
Felsőszénégető,Oberkohlstätten,A
Felsőszentbenedek,Kančevci,SLO
Felsőszentmihály,Mihai Viteazu,RO
Felsőszépfalu,Šuňava,SK
Felsőszerdahely,Horná Streda,SK
Felsőszernye,Horná Srnie,SK
Felsősziklás,Vyšný Skálnik,SK
Felsőszil,Brestovany,SK
Felsőszilvás,Silvaşu de Sus,RO
Felsőszinevér,Szinevirszka Poljana,UA
Felsőszivágy,Asuaju de Sus,RO
Felsőszlatina,Verhnyja Szolotvina,UA
Felsőszolcsva,Sălciua de Sus,RO
Felsőszombatfalva,Sâmbăta de Sus,RO
Felsőszopor,Supuru de Sus,RO
Felsőszovát,Suatu,RO
Felsőszőcs,Suciu de Sus,RO
Felsőszőllős,Horný Vinodol,SK
Felsősztamora,Stamora Română,RO
Felsősztregova,Horná Strehová,SK
Felsőszúcs,Horná Súča,SK
Felsőtárnok,Horná Trnávka,SK
Felsőtaróc,Vyšný Tvarožec,SK
Felsőtatárlaka,Tătârlaua,RO
Felső-Tavankút,Gornji Tavankut,YU
Felsőtelek,Teliucu Superior,RO
Felsőterény,Terany,SK
Felsőtisztás,Horný Tisovník,SK
Felsőtizsény,Horná Tižina,SK
Felsőtokaj,Tokajík,SK
Felsőtopa,Topa de Sus,RO
Felsőtótfalu,Păuleşti,RO
Felsőtóti,Horná Ves,SK
Felsőtök,Tiocu de Sus,RO
Felsőtőkés,Vyšný Klátov,SK
Felsőtölgyes,Horná Poruba,SK
Felsőtúr,Horné Turovce,SK
Felsőturcsek,Turček,SK
Felsőtyukos,Ticuşu Nou,RO
Felsőucsa,Ucea de Sus,RO
Felsőújfalu,Satu Nou de Sus,RO
Felsőújlak,Neusiedl bei Güssing,A
Felsővadas,Horný Vadičov,SK
Felsővalkó,Valcău de Sus,RO
Felsővály,Vyšné Valice,SK
Felsővámos,Horné Mýto,SK
Felsővárad,Horný Várad,SK
Felsőváradja,Oarda,RO
Felsővarány,Vrăniuţ,RO
Felsővárca,Oarţa de Sus,RO
Felsővargony,Vagrinec,SK
Felsővárosvíz,Orăştioara de Sus,RO
Felsővásárd,Horné Trhovište,SK
Felsővéghegy,Gornji Koncovčak,HR
Felsővenice,Veneţia de Sus,RO
Felsőverecke,Verhnyi Vorota,UA
Felsőveresmart,Velika Kopanya,UA
Felsővesztény,Horné Vestenice,SK
Felsővidafalva,Gornji Vidovec,HR
Felsővidra,Avram Iancu,RO
Felsővirányos,Vyšná Sitnica,SK
Felsővisnyó,Višňové,SK
Felsővisó,Vişeu de Sus,RO
Felsővist,Viştea de Sus,RO
Felsővízköz,Svidník,SK
Felsőviznice,Verhnyja Viznica,UA
Felsőzáros,Zariečie,SK
Felsőzboró,Zborov nad Bystricou,SK
Felsőzélle,Horné Zelenice,SK
Felsőzellő,Veľké Zlievce,SK
Felsőzorlenc,Zorlencior,RO
Felsőzrínyifalva,Gornji Kuršanec,HR
Felsőzubrica,Zubrzyca Górna,PL
Felsőzúgó,Vyšné Ružbachy,SK
Felsőzsadány,Horná Ždaňa,SK
Felsőzsember,Žemberovce,SK
Felsőzsuk,Jucu de Sus,RO
Félszeg,Protiveny,UA
Félszerfalva,Hirm,A
Féltorony,Halbturn,A
Feltót,Tauţ,RO
Felváca,Vaţa de Sus,RO
Félváros,Bogaraš,YU
Felvinc,Unirea,RO
Fenes,Feneş,RO
Fény,Foeni,RO
Fenyéd,Brădeşti,RO
Fenyéres,Feneriş,RO
Fényes,Feneş,RO
Fenyőfalva,Bradu,RO
Fenyőháza,Ľubochňa,SK
Fenyőkosztolány,Jedľové Kostoľany,SK
Fenyőkút,Fântâna Brazilor,RO
Fenyős,Brădet,RO
Fenyves,Pini,RO
Fenyves,Sztrihalnya,UA
Fenyves,Borová,SK
Fenyvesd,Chvojnica,SK
Fenyvesvölgy,Sztavne,UA
Fenyvesszoros,Svrčinovec,SK
Ferde,Fârdea,RO
Ferdinándfalva,Novi Kozjak,YU
Feredőgyógy,Geoagiu-Băi,RO
Féregyház,Firiteaz,RO
Ferencbánya,Ticu-Colonie,RO
Ferencfalva,Văliug,RO
Ferenchalom,Kačarevo,YU
Ferenchegy,Frkanovec,HR
Ferenclak,Rankovci,SLO
Ferencvölgye,Piatra,RO
Ferend,Ferendia,RO
Feresd,Feregi,RO
Fericse,Ferice,RO
Fertőalmás,Zabolottya,UA
Fertőfehéregyháza,Donnerskirchen,A
Fertőmeggyes,Mörbisch am See,A
Fertősalmás,Zabolottya,UA
Fertőszéleskút,Breitenbrunn,A
Ferzsó,Sveržov,SK
Fiacsic,Fiačice,SK
Fias,Fijaš,SK
Fiatfalva,Filiaş,RO
Fickópataka,Fiţcău,RO
Filefalva,Filice,SK
Fillér,Filier,SK
Filóc,Filovci,SLO
Finta,Fintice,SK
Fintaháza,Cinta,RO
Fintóág,Fintoag,RO
Firigyháza,Filić,YU
Firtosmartonos,Firtănuş,RO
Firtosmartonosi láz,Laz-Firtănuş,RO
Firtosváralja,Firtuşu,RO
Fitód,Fitod,RO
Fiume,Rijeka,HR
Fodorház,Fodorhaza,RO
Fogadjisten,Velebit,YU
Fogadjisten,Višnjevac,YU
Fogaras,Făgăraş,RO
Fogas,Závadka,SK
Folkusfalva,Folkušová,SK
Folt,Folt,RO
Fólya,Folea,RO
Folyfalva,Foi,RO
Fonóháza,Fânaţe,RO
Fontenyásza,Fontinyaszi,UA
Forduló,Socet,RO
Forduló,Oblaz,UA
Forgácsfalva,Lom nad Rimavicou,SK
Forgácskút,Ticu,RO
Forgolány,Gyivicsne,UA
Fornadia,Fornădia,RO
Fornos,Fornos,UA
Fornószeg,Tepličky,SK
Forotik,Forotic,RO
Forrásészka,Valea Sânmartinului,RO
Forrásfalva,Fărăşeşti,RO
Forráshuta,Rodnikova Huta,UA
Forrószeg,Forosig,RO
Fotos,Fotoş,RO
Fotosmartonos,Fotoş,RO
Főherceglak,Kneževo,HR
Földra,Feldru,RO
Földszin,Floreşti,RO
Földvár,Feldioara,RO
Földvár,Feldioara,RO
Fönáce,Fânaţe,RO
Főnikszhuta,Rolova Huta,SK
Fönlak,Felnac,RO
Főrév,Prievoz,SK
Fraknó,Forchtenau,A
Fraknónádasd,Rohrbach bei Mattersburg,A
Frics,Fričovce,SK
Frigyesfalva,Klenovec,UA
Frigyesvágása,Frydman,PL
Frinkfalva,Frâncenii Boiului,RO
Friss,Lunca,RO
Frivaldnádas,Rajecká Lesná,SK
Fugad,Ciuguzel,RO
Fugyi,Fughiu,RO
Fugyivásárhely,Oşorhei,RO
Fulyán,Fulianka,SK
Funácdülő,Fânaţe,RO
Fundája,Fundoaia,RO
Fundáta,Fundata,RO
Fundoja,Fundoaia,RO
Furksora,Furcşoara,RO
Furluk,Fârliug,RO
Futásfalva,Alungeni,RO
Füge,Figa,SK
Füge,Figa,RO
Füleháza,Filea,RO
Fülek,Fiľakovo,SK
Fülekkelecsény,Fiľakovské Kľačany,SK
Fülekkovácsi,Fiľakovské Kováče,SK
Fülekpilis,Pleš,SK
Fülekpüspöki,Biskupice,SK
Füleksávoly,Šávoľ,SK
Füles,Nikitsch,A
Fületelke,Filitelnic,RO
Fülöpfalva,Pilipec,UA
Fülpös,Filpea,RO
Für,Rúbaň,SK
Fűrész,Píla,SK
Fűrészfalu,Hvozdnica,SK
Fürjes,Zagajica,YU
Fürményes,Firminiş,RO
Füss,Trávnik,SK
Füsthegysirokány,Rauhriegel-Allersgraben,A
Füves,Vărzari,RO
Füzegy,Fiziş,RO
Füzérnádaska,Trsťany,SK
Füzes,Stupini,RO
Füzesd,Fizeş,RO
Füzesd,Fizeşti,RO
Füzesdbogara,Valea Poienii,RO
Füzesér,Vrbnica,SK
Füzesmező,Loza,UA
Füzesmikola,Nicula,RO
Füzespaptelek,Preoteasa,RO
Füzesszentpéter,Sânpetru Almaşului,RO
Fűzkút,Sălcuţa,RO
Gábod,Găbud,RO
Gáborvölgy,Grabrovnik,HR
Gács,Halič,SK
Gacsalk,Gočaltovo,SK
Gácsfalva,Stará Halič,SK
Gácslápos,Lupoč,SK
Gácsliget,Lehôtka,SK
Gácsprága,Praha,SK
Gád,Gad,RO
Gádor,Gakovo,YU
Gagy,Goagiu,RO
Gainár,Poieniţa,RO
Gajar,Gajary,SK
Gajtás,Kajtasovo,YU
Galábocs,Glabušovce,SK
Galac,Galaţi,RO
Galac,Galaţi,RO
Galacfalva,Galaţii Bistriţei,RO
Galacs,Goleţ,RO
Galadna,Gladna Română,RO
Galadnabánya,Gladna Montană,RO
Galagonyás,Glogonj,YU
Galambod,Porumbeni,RO
Galambos,Holubine,UA
Galánta,Galanta,SK
Galbatő,Gaboltov,SK
Gáldtő,Galtiu,RO
Gálfalu,Galovany,SK
Gálfalva,Kobalevica,UA
Galgó,Gâlgău,RO
Galgóc,Hlohovec,SK
Galocás,Gălăuţaş,RO
Galocáspatak,Gălăuţaş-Pârău,RO
Gálocs,Halocs,UA
Galonya,Calina,RO
Galonya,Gălăoaia,RO
Gálos,Gols,A
Gálosháza,Gălăşeni,RO
Gálospetri,Galoşpetreu,RO
Galponya,Gălpâia,RO
Galsa,Galşa,RO
Galsa,Holiša,SK
Gálszécs,Sečovce,SK
Gálya,Gaj,YU
Gallyas,Haluzice,SK
Gancos,Honcos,UA
Gáncs,Dumbrăveni,RO
Gánóc,Gánovce,SK
Ganócs,Gamischdorf,A
Gány,Gáň,SK
Gánya,Hanicsi,UA
Garabos,Grabaţ,RO
Garamapáti,Opatová,SK
Garamberzence,Hronská Breznica,SK
Garamdamásd,Domaša,SK
Garamfő,Telgárt,SK
Garamhalászi,Sliač,SK
Garamhidvég,Zámostie,SK
Garamkelecsény,Hronské Kľačany,SK
Garamkeszi,Hronské Kosihy,SK
Garamkirályfalva,Kráľová,SK
Garamkovácsi,Kozárovce,SK
Garamkövesd,Kamenica nad Hronom,SK
Garamkürtös,Lovčica-Trubín,SK
Garamladomér,Ladomerská Vieska,SK
Garamlök,Lok,SK
Garammikola,Mikula,SK
Garammindszent,Vieska,SK
Garamnémetfalva,Nemecká,SK
Garamnémeti,Tekovské Nemce,SK
Garamolaszka,Valaská,SK
Garampáld,Pavlová,SK
Garampéteri,Predajná,SK
Garamrév,Voznica,SK
Garamrudnó,Rudno nad Hronom,SK
Garamsálfalva,Šalková,SK
Garamsalló,Šalov,SK
Garamsolymos,Gondovo,SK
Garamszécs,Polomka,SK
Garamszeg,Hronsek,SK
Garamszentandrás,Ondrej nad Hronom,SK
Garamszentbenedek,Hronský Beňadik,SK
Garamszentgyörgy,Jur nad Hronom,SK
Garamszentkereszt,Žiar nad Hronom,SK
Garamszentmiklós,Dubová,SK
Garamszőllős,Rybník,SK
Garamtolmács,Tlmače,SK
Garamújfalu,Nová Dedina,SK
Garamvezekény,Vozokany nad Hronom,SK
Garancspetróc,Granč-Petrovce,SK
Garany,Hraň,SK
Garassa,Groşii Noi,RO
Garat,Dacia,RO
Garba,Gurba,RO
Garbócbogdány,Bohdanovce,SK
Gardánfalva,Gârdani,RO
Gát,Haty,UA
Gátalja,Gătaia,RO
Gatály,Hatalov,SK
Gaurény,Alunişul,RO
Gauricsa,Livezi,RO
Gavosdia,Gavojdia,RO
Gázló,Velika Roztoka,UA
Gázló,Zabrogy,UA
Gázlós,Brodské,SK
Gecelfalva,Koceľovce,SK
Gedőudvar,Ocinje,SLO
Geges,Ghineşti,RO
Gelence,Ghelinţa,RO
Geletnek,Hliník nad Hronom,SK
Gellér,Holiare,SK
Gellért,Geraltov,SK
Gencs,Ghenci,RO
Genyéte,Ghenetea,RO
Gerbóc,Gârbovăţ,RO
Gercse,Gritsch,A
Gercsely,Hrčel,SK
Gerdály,Gherdeal,RO
Geréb,Hrabské,SK
Gerebenc,Grebenac,YU
Gerebes,Povina,SK
Gerencsér,Hrnčiarovce nad Parnou,SK
Gerend,Grind,RO
Gerenda,Hriadky,SK
Gerendkeresztúr,Grindeni,RO
Gerendkeresztúri tanya,Coasta Grindului,RO
Gerény,Horjani,UA
Géres,Ghirişa,RO
Gergelyfája,Ungurei,RO
Gergelyfalva,Gregorova Vieska,SK
Gergelylaka,Gregorovce,SK
Gergőfalva,Ďurďové,SK
Gergurevci,Grgurevci,YU
Gerk,Višnjićevo,YU
Gerla,Gerlachov,SK
Gerlachfalva,Gerlachov,SK
Gerlefalva,Girovce,SK
Gerlicz,Hrlica,SK
Gerlistye,Gârlişte,RO
Gernyés,Kopasneve,UA
Gernyésmező,Poljana,UA
Gernyeszeg,Gorneşti,RO
Gernyőpuszta,Bottovo,SK
Gerőc,Greoni,RO
Gerőháza,Lončarevci,SLO
Gertenyes,Gherteniş,RO
Gesztenyés,Kuštanovci,SLO
Gesztes,Hostišovce,SK
Gesztete,Hostice,SK
Gesztőd,Hosťovce,SK
Gesztrágy,Straja,RO
Gézafalva,Roviniţa Mică,RO
Gézsény,Hažín,SK
Ghymes,Jelenec,SK
Ghymeskosztolány,Kostoľany pod Tríbečom,SK
Gibárd,Gibarac,YU
Gibely,Zálesie,SK
Gice,Hucín,SK
Gidástó,Ghidaşteu,RO
Gidófalva,Ghidfalău,RO
Gidrafa,Budmerice,SK
Gidrafűrész,Píla,SK
Giglóc,Giglovce,SK
Gilád,Ghilad,RO
Gilvács,Ghilvaci,RO
Gímes,Jelenec,SK
Girált,Giraltovce,SK
Giródtótfalu,Tăuţii de Sus,RO
Girókuta,Giorocuta,RO
Girolt,Ghirolt,RO
Gizellafalva,Ghizela,RO
Gledény,Gledin,RO
Glimboka,Glâmboaca,RO
Glod,Glod,RO
Glód,Glod,RO
Glodgilesd,Glodghileşti,RO
Gnézda,Hniezdne,SK
Góborfalva,Goberling,A
Gócs,Gočovo,SK
Godinesd,Godineşti,RO
Gógán,Gogan,RO
Gógánváralja,Gogan Varolea,RO
Gojcsfalva,Goizeşti,RO
Golbor,Globurău,RO
Golles,Goleş,RO
Gomba,Hubice,SK
Gombás,Hribovci,UA
Gombás,Hubová,SK
Gombástanya,Ciuperceni,RO
Gombástelek,Zaperegyelje,UA
Gombos,Bogojevo,YU
Gombostelke,Gâmbuţ,RO
Gombosszentgyörgy,Hubošovce,SK
Goncága,Gânţaga,RO
Gorbolyfalva,Josani,RO
Gorbómező,Valea Lungă,RO
Gorbósalamon,Solomon,RO
Gorond,Horonda,UA
Gorony,Goruia,RO
Gortvakisfalud,Gortva,SK
Gorzó,Gruzovce,SK
Gósd,Livada,RO
Gósfalva,Košolná,SK
Gothátya,Gothatea,RO
Govasdia,Govăjdia,RO
Göbölfalva,Buglovce,SK
Göc,Ghiolţ,RO
Göcs,Găieşti,RO
Gödemesterháza,Stânceni,RO
Gödényháza,Hugya,UA
Gödrös,Krivošťany,SK
Gödrösolyka,Krivá Oľka,SK
Gölnicbánya,Gelnica,SK
Gömörfalva,Gemerská Ves,SK
Gömörfüge,Figa,SK
Gömörhegyvég,Poproč,SK
Gömörhorka,Gemerská Hôrka,SK
Gömörhosszúszó,Dlhá Ves,SK
Gömörispánmező,Španie Pole,SK
Gömörliget,Gemerský Sad,SK
Gömörlipóc,Lipovec,SK
Gömörmihályfa,Gemerské Michalovce,SK
Gömörmihályfalva,Gemerské Michalovce,SK
Gömörnádas,Gemerský Sad,SK
Gömörpanyit,Gemerská Panica,SK
Gömörpéterfalva,Petrovce,SK
Gömörrákos,Rákoš,SK
Gömörrépás,Repištia,SK
Gömörsid,Šíd,SK
Göncölfalva,Kynceľová,SK
Göncölkarcsa,Kynceľove Korčany,SK
Göntérháza,Genterovci,SLO
Görbény,Slovenské Krivé,SK
Görbepataka,Valea Gârbea,RO
Görbesd,Gurbeşti,RO
Görbeszeg,Uličské Krivé,SK
Görgényadorján,Adrian,RO
Görgényhodák,Hodac,RO
Görgénykakucs,Căcuciu,RO
Görgénynádas,Nadăşa,RO
Görgényoroszfalu,Solovăstru,RO
Görgényorsova,Orşova,RO
Görgénysóakna,Jabeniţa,RO
Görgényszentimre,Gurghiu,RO
Görgényüvegcsűr,Glăjărie,RO
Görgeteg,Grgeteg,YU
Görgő,Spišský Hrhov,SK
Görhegy,Gerlinci,SLO
Göröcsfalva,Satu Nou,RO
Görögfalu,Závadka,SK
Göröghegy,Grkavešćak,HR
Göröginye,Ohradzany,SK
Gredistye,Grădiştea de Munte,RO
Grid,Grid,RO
Grid,Grid,RO
Grinád,Myslenice,SK
Grodnó,Grodnau,A
Grohot,Grohot,RO
Grós,Groş,RO
Grujelács,Gruelaci,RO
Grúny,Gruni,RO
Guga,Guga,RO
Gunaras,Gunaroš,YU
Guotfalu,Gôtovany,SK
Guradobra,Gura Dobrii,RO
Gurány,Gurani,RO
