Magyar név,Mai hivatalos név,Ország
Alsófehérkút,Príbelce,SK
Alsófeketevölgy,Valea de Jos,RO
Alsófenyves,Nižná Jedľová,SK
Alsóferencfalva,Ferketinec,HR
Alsófernezely,Ferneziu,RO
Alsófricske,Fričkovce,SK
Alsófüld,Fildu de Jos,RO
Alsófüle,Filea de Jos,RO
Alsófüves,Vărzarii de Jos,RO
Alsógáld,Galda de Jos,RO
Alsógellér,Holiare,SK
Alsógereben,Nyizsnya Hrabonica,UA
Alsógezés,Ghijasa de Jos,RO
Alsógörbed,Crivina,RO
Alsógyékényes,Jichişu de Jos,RO
Alsógyertyán,Nižný Hrabovec,SK
Alsógyőröd,Dolný Ďúr,SK
Alsóhagymás,Hăşmaş,RO
Alsóhalas,Nižná Rybnica,SK
Alsóhámor,Hodruša-Hámre,SK
Alsóhatár,Dolný Chotár,SK
Alsóhatárszeg,Roztoka,UA
Alsóhelbény,Dolné Chlebany,SK
Alsóhermánd,Dolný Harmanec,SK
Alsóhidas,Dolný Moštenec,SK
Alsóhideghegy,Donji Zebanec,HR
Alsóhidegpatak,Nyizsnyij Sztudenij,UA
Alsóhímes,Nižná Pisaná,SK
Alsóhomoród,Homorodu de Jos,RO
Alsóhrabonica,Nyizsnya Hrabonica,UA
Alsóhunkóc,Choňkovec,SK
Alsóhuta,Iegherişte,RO
Alsóhutka,Nižná Hutka,SK
Alsóidecs,Ideciu de Jos,RO
Alsóilosva,Ilişua,RO
Alsóittebe,Novi Itebej,YU
Alsójánosfa,Ivanjševci,SLO
Alsójányok,Dolné Janíky,SK
Alsójára,Iara,RO
Alsójattó,Jatov,SK
Alsókabol,Donji Kovilj,YU
Alsókajanel,Căinelu de Jos,RO
Alsókálinfalva,Kalini,UA
Alsókálnok,Dolný Kalník,SK
Alsókalocsa,Kolocsava,UA
Alsókálosa,Kaloša,SK
Alsókánya,Jastrabie pri Michalovce,SK
Alsókápolna,Căpâlna de Jos,RO
Alsókarácsonfalva,Crăciunelu de Jos,RO
Alsókaraszló,Zarecsje,UA
Alsókaznacs,Cosniciu de Jos,RO
Alsókemence,Nižná Kamenica,SK
Alsókemenec,Kamenec pod Vtáčnikom,SK
Alsókerepec,Nyizsnyij Koropec,UA
Alsókismartonhegy,Unterberg Eisenstadt,A
Alsókocskóc,Dolné Kočkovce,SK
Alsókocsoba,Cociuba Mare,RO
Alsókomána,Comana de Jos,RO
Alsókomárnok,Nižný Komárnik,SK
Alsókomaróc,Komárany,SK
Alsókorompa,Dolná Krupá,SK
Alsókosály,Căşeiu,RO
Alsóköcsény,Kučín,SK
Alsóköhér,Chiheru de Jos,RO
Alsóköröskény,Dolné Krškany,SK
Alsókörtvélyes,Nižný Hrušov,SK
Alsóköves,Nicolae Bălcescu,RO
Alsókubin,Dolný Kubín,SK
Alsóladács,Vladiča,SK
Alsólakos,Dolnji Lakoš,SLO
Alsólánc,Nižný Lánec,SK
Alsólápos,Łapsze Niźnie,PL
Alsólapugy,Lăpugiu de Jos,RO
Alsólászló,Unterloisdorf,A
Alsólászlófalva,Nižné Ladičkovce,SK
Alsólegénd,Dolné Mladonice,SK
Alsólehnic,Červený Kláštor,SK
Alsólehota,Dolná Lehota,SK
Alsólendva,Lendava,SLO
Alsóleszéte,Korytné,SK
Alsólipnica,Lipnica Wielka,PL
Alsólócz,Dolné Lovčice,SK
Alsólopassó,Dolný Lopašov,SK
Alsólövő,Unterschützen,A
Alsólugos,Lugaşu de Jos,RO
Alsólunkoj,Luncoiu de Jos,RO
Alsólupkó,Liubcova,RO
Alsómarác,Moravci,SLO
Alsómattyasóc,Liptovské Matiašovce,SK
Alsómedves,Grossmürbisch,A
Alsómélyesd,Dolné Hlboké,SK
Alsómérk,Nižné Mirkovce,SK
Alsómerse,Nižný Mirošov,SK
Alsómezős,Câmpanii de Jos,RO
Alsómicsinye,Dolná Mičiná,SK
Alsómihályfalva,Donji Mihaljevec,HR
Alsómihályi,Michaľany,SK
Alsómiholjác,Donji Miholjac,HR
Alsómislye,Nižná Myšľa,SK
Alsómoécs,Moieciu de Jos,RO
Alsómogyoród,Dolný Lieskov,SK
Alsómotesic,Dolné Motešice,SK
Alsónádasd,Nădăştia de Jos,RO
Alsónémeti,Nižné Nemecké,SK
Alsóneresznice,Neresznica,UA
Alsóneszte,Dolné Naštice,SK
Alsónyárasd,Topoľníky,SK
Alsónyárló,Chichişa,RO
Alsónyíresd,Dolná Breznica,SK
Alsónyiresfalva,Lunca Cernii de Jos,RO
Alsónyírjes,Slovenská Kajňa,SK
Alsóodor,Nižný Orlík,SK
Alsóolcsvár,Nižný Olčvar,SK
Alsóolsva,Nižná Oľsava,SK
Alsóorbó,Gârbova de Jos,RO
Alsóoroszfalu,Rusu de Jos,RO
Alsóoroszi,Urisiu de Jos,RO
Alsóosztorány,Stránske,SK
Alsóozor,Dolné Ozorovce,SK
Alsóőr,Unterwart,A
Alsópagony,Nižná Poľanka,SK
Alsópálfa,Palinovec,HR
Alsópalojta,Dolné Plachtince,SK
Alsópásztély,Behengyacka Pasztilj,UA
Alsópatak,Valea Mare de Codru,RO
Alsópatakvölgy,Nyizsnyij Dubovec,UA
Alsópél,Dolný Pial,SK
Alsópéterfa,Unterpetersdorf,A
Alsópián,Pianu de Jos,RO
Alsópodsága,Poşaga de Jos,RO
Alsópojény,Poienii de Jos,RO
Alsópokorágy,Nižná Pokoradz,SK
Alsóporumbák,Porumbacu de Jos,RO
Alsópozsgás,Pojejena,RO
Alsópulya,Unterpullendorf,A
Alsópusztafa,Donji Pustakovec,HR
Alsórados,Radošovce,SK
Alsórakonca,Rykynčice,SK
Alsórákos,Racoş,RO
Alsórámóc,Unterrabnitz,A
Alsórécsény,Dolné Rišnovce,SK
Alsóremete,Nyizsnyi Remeti,UA
Alsórépa,Râpa de Jos,RO
Alsórépás,Nižné Repaše,SK
Alsórétfalu,Lúky,SK
Alsóribnice,Nižná Rybnica,SK
Alsóricsó,Dolný Hričov,SK
Alsóróna,Rona de Jos,RO
Alsórudaskóc,Veľké Držkovce,SK
Alsósajó,Nižná Slaná,SK
Alsósárad,Nyizsnye Bolotne,UA
Alsóschönborn,Sonborn,UA
Alsósebes,Nižná Šebastová,SK
Alsósimánd,Şimand,RO
Alsósipék,Dolné Šipice,SK
Alsósófalva,Ocna de Jos,RO
Alsóstepanó,Dolný Štefanov,SK
Alsóstubnya,Dolná Štubňa,SK
Alsósujtó,Dolné Šutovce,SK
Alsószabadi,Dolná Lehota,SK
Alsószabados,Nižná Voľa,SK
Alsószakács,Secaş,RO
Alsószalánk,Slovinky,SK
Alsószalatna,Slatinka nad Bebravou,SK
Alsószálláspatak,Sălaşu de Jos,RO
Alsószalók,Nižný Slavkov,SK
Alsószecse,Dolná Seč,SK
Alsószelezsény,Sľažany,SK
Alsószeli,Dolné Saliby,SK
Alsószelistye,Nyizsnye Szeliscse,UA
Alsószemeréd,Dolné Semerovce,SK
Alsószénégető,Unterkohlstätten,A
Alsószentbenedek,Ivanovci,SLO
Alsószentmihály,Sânmihaiu de Jos,RO
Alsószépfalu,Nižná Šuňava,SK
Alsószerdahely,Dolná Streda,SK
Alsószernye,Dolné Srnie,SK
Alsósziklás,Nižný Skálnik,SK
Alsószil,Malé Brestovany,SK
Alsószilvás,Silvaşu de Jos,RO
Alsószinevér,Szinevir,UA
Alsószivágy,Asuaju de Jos,RO
Alsószlatina,Nyizsnya Szolotvina,UA
Alsószolcsva,Sălciua de Jos,RO
Alsószombatfalva,Sâmbăta de Jos,RO
Alsószopor,Supuru de Jos,RO
Alsószőcs,Suciu de Jos,RO
Alsószőllős,Vinodol,SK
Alsósztamora,Stamora Germană,RO
Alsósztregova,Dolná Strehová,SK
Alsószúcs,Dolná Súča,SK
Alsótárnok,Dolná Trnávka,SK
Alsótaróc,Nižný Tvarožec,SK
Alsótatárlaka,Tărtăria,RO
Alsó-Tavankút,Donji Tavankut,YU
Alsótelek,Teliucu Inferior,RO
Alsóterény,Dolné Terany,SK
Alsótisztás,Dolný Tisovník,SK
Alsótizsény,Dolná Tižina,SK
Alsótopa,Topa de Jos,RO
Alsótótfalu,Sârbi,RO
Alsótök,Tiocu de Jos,RO
Alsótőkés,Nižný Klátov,SK
Alsóturcsek,Dolný Turček,SK
Alsóucsa,Ucea de Jos,RO
Alsóújfalu,Satu Nou de Jos,RO
Alsóvadas,Dolný Vadičov,SK
Alsóvalkó,Valcău de Jos,RO
Alsóvály,Valice,SK
Alsóvárad,Tekovský Hrádok,SK
Alsóváradja,Oarda de Jos,RO
Alsóvarány,Vrani,RO
Alsóvárca,Oarţa de Jos,RO
Alsóvárosvíz,Orăştioara de Jos,RO
Alsóvásárd,Dolné Trhovište,SK
Alsóvéghegy,Donji Koncovčak,HR
Alsóvenice,Veneţia de Jos,RO
Alsóverecke,Nyizsnyi Vorota,UA
Alsóveresmart,Mala Kopanya,UA
Alsóvesztény,Dolné Vestenice,SK
Alsóvidra,Vidra,RO
Alsóvirányos,Nižná Sitnica,SK
Alsóvisnyó,Višňové,SK
Alsóvisó,Vişeu de Jos,RO
Alsóvist,Viştea de Jos,RO
Alsóvízköz,Nižný Svidník,SK
Alsóviznice,Nyizsnya Viznica,UA
Alsózáros,Dolné Záriečie,SK
Alsózélle,Dolné Zelenice,SK
Alsózellő,Malé Zlievce,SK
Alsózorlenc,Zorlenţu Mare,RO
Alsózubrica,Zubrzyca,PL
Alsózúgó,Nižné Ružbachy,SK
Alsózsadány,Dolná Ždana,SK
Alsózsember,Dolné Žemberovce,SK
Alsózsuk,Jucu de Jos,RO
Altorja,Turia,RO
Álun,Alun,RO
Alváca,Vaţa de Jos,RO
Alvinc,Vinţu de Jos,RO
Amac,Amaţi,RO
Amadékarcsa,Amadeovské Korčany,SK
Andaháza,Andiče,SK
Andód,Andovce,SK
Andorháza,Adrijanci,SLO
Andorhegy,Andrejci,SLO
Andrásfalu,Liptovská Ondrašová,SK
Andrásfalva,Karadjordjevo,YU
Andrásföldje,Mali Beograd,YU
Andrásháza,Andrijivka,UA
Andrási,Pača,SK
Andrásmező,Orešković,YU
Andrásnépe,Zobnatica,YU
Andrasóc,Andrijivka,UA
Andrássytelep,Avrămeşti,RO
Andrástelke,Gornja Rogatica,YU
Andrásvágás,Ondrašovce,SK
Andrásvára,Orešković,YU
Andrásszállás,Bački Sokolac,YU
Andronyásza,Andreneasa,RO
Angofa,Angofa,RO
Angyalkút,Fântânele,RO
Angyalos,Angheluş,RO
Aninosza,Aninoasa,RO
Annafalva,Hanková,SK
Ant,Ant,RO
Antalfalva,Kovačica,YU
Antalóc,Antaloc,UA
Antalokpataka,Valea lui Antaloc,RO
Antos,Antăş,RO
Apa,Apa,RO
Apáca,Apaţa,RO
Apácaszakállas,Opatovský Sokolec,SK
Apádia,Apadia,RO
Apafalva,Opava,SK
Apahegy,Viile Apei,RO
Apahida,Apahida,RO
Apaj,Opoj,SK
Apanagyfalu,Nuşeni,RO
Apatelek,Mocrea,RO
Apáthegyalja,Lehôtka pod Brehy,SK
Apáti,Apateu,RO
Apáti,Opatovac,HR
Apatin,Apatin,YU
Apátka,Opátka,SK
Apátkeresztúr,Crestur,RO
Apátkolos,Veľký Klíž,SK
Apátlévna,Livinské Opatovce,SK
Apátmarót,Opatove Moravce,SK
Apátszentmihály,Bohunice,SK
Apátújfalu,Opatovská Nová Ves,SK
Apaújfalu,Nou Săsesc,RO
Apold,Apold,RO
Appony,Oponice,SK
Aracs,Vranjevo,YU
Arad,Arad,RO
Aradi,Aradac,YU
Aradkövi,Cuvin,RO
Arany,Uroi,RO
Aranyág,Herneacova,RO
Aranybánya,Zlatá Baňa,SK
Aranyida,Zlatá Idka,SK
Aranykút,Aruncuta,RO
Aranymező,Băbeni,RO
Aranyos,Arănieş,RO
Aranyosbánya,Baia de Arieş,RO
Aranyosd,Zlatníky,SK
Aranyosegerbegy,Viişoara,RO
Aranyosfő,Scărişoara,RO
Aranyosgerend,Luncani,RO
Aranyosgyéres,Câmpia Turzii,RO
Aranyosivánfalva,Cacova Ierii,RO
Aranyoslóna,Luna,RO
Aranyoslonka,Lunca,RO
Aranyosmarót,Zlaté Moravce,SK
Aranyosmeggyes,Medieşu Aurit,RO
Aranyosmohács,Măhăceni,RO
Aranyosmóric,Moruţ,RO
Aranyospatak,Zlatník,SK
Aranyospolyán,Poiana,RO
Aranyosponor,Ponorel,RO
Aranyosrákos,Vălenii de Arieş,RO
Aranyosronk,Runc,RO
Aranyosvágás,Vadu Moţilor,RO
Aranyosszentmiklós,Sânnicoară,RO
Aranyosszohodol,Sohodol,RO
Aranypataka,Zlaté,SK
Árapatak,Araci,RO
Árdánfalva,Ardanovce,SK
Árdánháza,Ardanove,UA
Árdány,Ardan,RO
Argyas,Arghişu,RO
Árki,Archia,RO
Árkod,Jarkovac,YU
Árkos,Arcuş,RO
Ármándombja,Dealu Armanului,RO
Arnótfalva,Arnutovce,SK
Árok,Jarok,UA
Árokalja,Arcalia,RO
Árokszállás,Grafenschachen,A
Árpád,Arpăşel,RO
Árpástó,Braniştea,RO
Ársica,Arşiţa,RO
Árvátfalva,Arvăţeni,RO
Árvaváralja,Oravský Podzámok,SK
Ásgút,Podhorany,SK
Assakürt,Nové Sady,SK
Aszó,Osoi,RO
Aszóirtás,Sohodol,RO
Aszós,Osuské,SK
Asszonyfalva,Axente Sever,RO
Asszonynépe,Asinip,RO
Asszonyrét,Ogradena,RO
Asszonyvására,Târguşor,RO
Asztély,Asztely,UA
Aszubeszterce,Dorolea,RO
Atosfalva,Hoteşti,RO
Atya,Atea,RO
Atyás,Ateaş,RO
Atyha,Atia,RO
Aurélháza,Răuţi,RO
Avasfalva,Brăneşti,RO
Avasfelsőfalu,Negreşti-Oaş,RO
Avaslekence,Lechinţa,RO
Avaspatak,Valea Seacă,RO
Avasújfalu,Certeze,RO
Avasújváros,Oraşu Nou,RO
Bába,Baba,RO
Bábafalva,Babie,SK
Bábahalma,Bobohalma,RO
Bábakút,Babicsi,UA
Bábakút,Fântâna Babii,RO
Babarét,Babínec,SK
Bábaszék,Babiná,SK
Bábca,Babţa,RO
Babin,Babín,SK
Babindál,Babindol,SK
Babkó,Babkov,SK
Báboc,Băbuţiu,RO
Bábolna,Bobâlna,RO
Bábony,Băbiu,RO
Babsa,Babşa,RO
Baca,Baţa,RO
Bacalár,Băţălar,RO
Backamadaras,Păsăreni,RO
Bacúr,Bacúrov,SK
Bács,Bač,YU
Bácsandrás,Bački Sokolac,YU
Bacsava,Csabanyivka,UA
Bácsbéreg,Bački Breg,YU
Bacsfa,Báč,SK
Bácsfalu,Baciu,RO
Bácsfalva,Bacea,RO
Bácsfeketehegy,Feketić,YU
Bácsföldvár,Bačko Gradište,YU
Bácsgyulafalva,Telečka,YU
Bácshadikfalva,Stepanovićevo,YU
Bácsi,Băcia,RO
Bácsjózseffalva,Novi Žednik,YU
Bacska,Bačka,SK
Bacskafalva,Baštíň,SK
Bácskeresztúr,Ruski Krstur,YU
Bácskertes,Kupusina,YU
Bacskó,Bačkov,SK
Bácskossuthfalva,Stara Moravica,YU
Bacsó,Csabanyivka,UA
Bacsófalva,Počúvadló,SK
Bácsordas,Karavukovo,YU
Bácspalánka,Bačka Palanka,YU
Bácsszentiván,Prigrevica,YU
Bácsszőllős,Bački Vinogradi,YU
Bácstelek,Băcel,RO
Bácstopolya,Bačka Topola,YU
Bácstóváros,Tovariševo,YU
Bácsújfalu,Selenča,YU
Bácsújlak,Bačko Novo Selo,YU
Badafalva,Weichselbaum,A
Badaló,Badalovo,UA
Bádok,Bădeşti,RO
Bádon,Badon,RO
Badótanya,Bagyiv,UA
Bagolyfalu,Hurez,RO
Bagolyháza,Bilaszovica,UA
Bagonya,Bogojina,SLO
Bagota,Bohatá,SK
Bágy,Bădeni,RO
Bagyan,Baďan,SK
Bágyon,Bădeni,RO
Báhony,Báhoň,SK
Bajánháza,Bajany,SK
Bajcs,Bajč,SK
Bajesd,Băieşti,RO
Bajfalu,Dăneşti,RO
Bajka,Bajka,SK
Bajmóc,Bojnice,SK
Bajmócapáti,Opatovce nad Nitrou,SK
Bajmóclazán,Lazany,SK
Bajmóctölgyes,Dubnica,SK
Bajmócska,Bojničky,SK
Bajmok,Bajmok,YU
Bajnokfalva,Buhani,RO
Bajor,Bajerov,SK
Bajorvágás,Bajerovce,SK
Bajsa,Bajša,YU
Bajta,Bajtava,SK
Baka,Baka,SK
Bakabánya,Pukanec,SK
Bakamező,Bacău de Mijloc,RO
Bakónak,Bukovnica,SLO
Bakonya,Băcâia,RO
Bakostörék,Veľké Teriakovce,SK
Bakóvár,Bacova,RO
Baksafalva,Bocksdorf,A
Bala,Băla,RO
Balalény,Băleni,RO
Balánbánya,Bălan,RO
Balátatelep,Bălata,RO
Balátpuszta,Kupinik,YU
Balavásár,Bălăuşeri,RO
Balázs,Baláže,SK
Balázsd,Blajova,RO
Balazsér,Balazser,UA
Balázsfa,Blažov,SK
Balázsfalva,Blaj,RO
Balázsi,Vlača,SK
Balázsszeg,Izvoarele,RO
Balázstelke,Blăjel,RO
Balázsvágás,Javorina,SK
Báld,Balda,RO
Baldóc,Baldovce,SK
Báldovin,Baldovin,RO
Bálinc,Balinţ,RO
Bálintfalva,Valentová,SK
Bálintpuszta,Valentovce,SK
Balkfalva,Bălceşti,RO
Ballaháza,Mal,RO
Ballósfalva,Balazsijeve,UA
Balogd,Blažice,SK
Balogér,Ratkovská Zdychava,SK
Balogfala,Blhovce,SK
Balogiványi,Ivanice,SK
Balogpádár,Padarovce,SK
Balogrussó,Hrušovo,SK
Balogtamási,Tomášovce,SK
Balogújfalu,Vieska nad Blhom,SK
Balomir,Balomiru de Câmp,RO
Balomir,Balomir,RO
Balony,Baloň,SK
Balotafalu,Aciua,RO
Balpataka,Babin Potok,SK
Balsa,Balşa,RO
Báltfalva,Băltele,RO
Bálványoscsaba,Ceaba,RO
Bálványosváralja,Unguraş,RO
Bályok,Balc,RO
Bán,Bánovce nad Bebravou,SK
Báncsipkés,Šipkov,SK
Bándol,Weiden bei Rechnitz,A
Bánffydongó,Dângău Mare,RO
Bánffyhunyad,Huedin,RO
Bánffytanya,Sărmăşel-Gară,RO
Bánffytótfalu,Vale,RO
Bánfihegy,Banfi,HR
Banica,Băniţa,RO
Banka,Banka,SK
Bánkaraszna,Krasná Ves,SK
Bánkeszi,Bánov,SK
Bánlak,Banloc,RO
Bánluzsány,Podlužany,SK
Bánóc,Bánovce nad Ondavou,SK
Bánostor,Banoštor,YU
Bánpatak,Banpotoc,RO
Bánpecsenyéd,Pečeňany,SK
Bánpetri,Peťovka,SK
Bánruszkóc,Ruskovce,SK
Bántolmács,Tălmaci,RO
Bántornya,Turnišče,SLO
Bántölgyes,Dubnička,SK
Bánudvard,Dvorec,SK
Bánuta,Banuta,SLO
Bánzabos,Závada,SK
Bánya,Bănia,RO
Bánya,Baňa,SK
Bányabükk,Vâlcele,RO
Bányácska,Steingraben,A
Bányafalu,Szuszkove,UA
Bányahavas,Muntele Băişorii,RO
Bányahegy,Pleškovec,HR
Bányapataka,Banské,SK
Bányavár,Peklenica,HR
Bányavölgy,Duplín,SK
Bányika,Baica,RO
Bánnyíres,Brezolupy,SK
Bár,Baru,RO
Baraca,Barca,SK
Baracháza,Bărăteaz,RO
Baracka,Braväcovo,SK
Barackos,Baraţcoş,RO
Baracska,Bardoňovo,SK
Baradna,Brádno,SK
Barafalva,Bara,RO
Barakony,Brakoň,SK
Barancs,Zemplinsky Branč,SK
Baranda,Baranda,YU
Baranya,Baraninci,UA
Baranyabán,Popovac,HR
Baranyakisfalud,Branjina,HR
Baranyaszentistván,Petlovac,HR
Baranyavár,Branjin Vrh,HR
Báránykút,Bărcut,RO
Bárányos,Ovča,YU
Barátfalva,Ollersdorf im Burgenland,A
Baráthely,Brateiu,RO
Barátka,Bratca,RO
Barátlak,Rohožník,SK
Barátmajor,Mönchenmeierfhof,A
Barátos,Brateş,RO
Barátostelep,Baraţcoş,RO
Barátszabadi,Mníchova Lehota,SK
Baráttelke,Magnezitovce,SK
Barátudvar,Mönchof,A
Barbos,Bărbosu,RO
Bárbura,Barbura,RO
Bárca,Barca,SK
Barcánfalva,Bârsana,RO
Barcarozsnyó,Râşnov,RO
Barcaszentpéter,Sânpetru,RO
Barcaújfalu,Satu Nou,RO
Bárdfalva,Berbeşti,RO
Bárdháza,Barbovo,UA
Bardoc,Brăduţ,RO
Bárdossifalva,Bagremovo,YU
Báré,Bărăi,RO
Baresd,Bărăştii Iliei,RO
Baresd,Bărăştii Haţegului,RO
Bári,Bara,SK
Barka,Bôrka,SK
Bárkány,Barcani,RO
